,symbol,und_lastdt,und_last,und_firstdt,und_hi_1d,und_lo_1d,und_ch_1d,und_hi_1y,und_lo_1y,und_ch_1y,und_hi_25,und_lo_25,und_ch_25,rvol_startdt_1d,rvol_1,rvol_1_dly,rvol_1_woX,rvol_startdt_3d,rvol_3,rvol_3_dly,rvol_3_woX,rvol_startdt_7d,rvol_7,rvol_7_dly,rvol_7_woX,rvol_startdt_25d,rvol_25,rvol_25_dly,rvol_25_woX,rvol_startdt_45d,rvol_45,rvol_45_dly,rvol_45_woX,rvol_startdt_100d,rvol_100,rvol_100_dly,rvol_100_woX,rvol_wo_startdt_1d,rvol_1_wo,rvol_1_wo_dly,rvol_wo_startdt_3d,rvol_3_wo,rvol_3_wo_dly,rvol_wo_startdt_7d,rvol_7_wo,rvol_7_wo_dly,rvol_wo_startdt_25d,rvol_25_wo,rvol_25_wo_dly,rvol_wo_startdt_45d,rvol_45_wo,rvol_45_wo_dly,rvol_wo_startdt_100d,rvol_100_wo,rvol_100_wo_dly,rvol_25_wt,rvol_25_wt_dly,ivol_lastdt,ivol_firstdt,tte,ivol,ivol_ch,ivol_%ile,strad$,strad%,earning,earning_prev
0,AMC,2021-12-08 14:29:00,32.265,2020-09-22 14:59:00,33.7,29.895,4.063860667634258,53.43483908211862,1509.2269326683293,5.198847262247839,29.652240270358664,27.07758960220559,-0.2100624311421226,2021-12-07 14:59:00,101.91446466550715,66.86542467980814,101.91446466550715,2021-12-03 14:59:00,121.01156450895793,79.46620990485302,121.01156450895793,2021-11-29 14:59:00,124.44253065095099,126.45921429338425,124.44253065095099,2021-11-02 14:59:00,95.8330346017978,91.01004158611029,95.8330346017978,2021-10-05 14:59:00,82.66092125679873,77.1688700437822,82.66092125679873,2021-07-19 14:59:00,92.99132738659364,93.19453236975579,92.99132738659364,2021-12-07 14:59:00,101.91446466550715,66.86542467980814,2021-12-03 14:59:00,121.01156450895793,79.46620990485302,2021-11-29 14:59:00,124.44253065095099,126.45921429338425,2021-11-02 14:59:00,95.8330346017978,91.01004158611029,2021-10-05 14:59:00,82.66092125679873,77.1688700437822,2021-07-19 14:59:00,92.99132738659364,93.19453236975579,101.95537501739933,94.73721816829752,12/08/2021 14:22,10/28/2021 14:46,7.2666,109.42555197175187,-0.052973184518689376,17.24137931034483,4.799177904243297,14.826005754099857,08Nov,09Aug
1,GME,2021-12-08 14:29:00,174.84,2020-09-24 14:59:00,179.575,172.24,-1.2844761877875988,61.103448275862064,1833.0016583747927,18.129102844638947,30.514267546299976,9.645052050671012,-0.20053041907679642,2021-12-07 14:58:00,67.67211614869856,21.10369647833647,67.67211614869856,2021-12-03 14:59:00,87.37131164476509,58.85026730251727,87.37131164476509,2021-11-29 14:59:00,88.53340958221156,73.3769572598192,88.53340958221156,2021-11-02 14:59:00,84.96898607238172,77.19616997436874,84.96898607238172,2021-10-05 14:59:00,74.22082236245919,67.04751546725937,74.22082236245919,2021-07-19 14:59:00,76.18568695572398,71.9493060512707,76.18568695572398,2021-12-07 14:58:00,67.67211614869856,21.10369647833647,2021-12-03 14:59:00,87.37131164476509,58.85026730251727,2021-11-29 14:59:00,88.53340958221156,73.3769572598192,2021-11-02 14:59:00,84.96898607238172,77.19616997436874,2021-10-05 14:59:00,74.22082236245919,67.04751546725937,2021-07-19 14:59:00,76.18568695572398,71.9493060512707,81.71757625267135,81.77254824995221,12/08/2021 14:22,10/28/2021 14:46,7.2666,121.82666146430098,0.11970372336330581,93.10344827586206,28.95966000932616,16.50622502081389,08Dec,08Sep
2,TSLA,2021-12-08 14:29:00,1071.085,2020-09-18 14:59:00,1071.49,1034.505,1.834491676095045,13.868070186724989,203.2645780539944,1.4270305790648403,13.868070186724989,11.955033395699846,-0.11752977379741036,2021-12-07 14:59:00,36.479351836737486,30.184121707370466,36.479351836737486,2021-12-03 14:59:00,62.31958975283851,42.43483655426015,62.31958975283851,2021-11-29 14:59:00,62.49552839387421,54.586174696906056,62.49552839387421,2021-11-02 14:59:00,65.97504022256513,62.19629634267518,65.97504022256513,2021-10-05 14:59:00,58.453311940318855,62.11575273738672,58.453311940318855,2021-07-19 14:59:00,45.86156614584171,46.95360607857132,45.86156614584171,2021-12-07 14:59:00,36.479351836737486,30.184121707370466,2021-12-03 14:59:00,62.31958975283851,42.43483655426015,2021-11-29 14:59:00,62.49552839387421,54.586174696906056,2021-11-02 14:59:00,65.97504022256513,62.19629634267518,2021-10-05 14:59:00,58.453311940318855,62.11575273738672,2021-07-19 14:59:00,45.86156614584171,46.95360607857132,64.24062395741527,56.974444586341534,12/08/2021 14:22,10/28/2021 14:46,7.2666,58.41197101023764,-0.03577280046077835,10.344827586206897,84.6432018567267,7.914204705402433,20Oct,26Jul
3,EXPR,2021-12-08 14:29:00,3.745,2020-12-18 03:02:00,3.855,3.5949999999999998,2.1828103683492515,72.9895420122611,332.1735618256304,2.200854700854701,21.570680628272257,14.701378254211347,-0.1290697674418604,2021-12-07 14:59:00,69.56416271004203,35.91524272413782,69.56416271004203,2021-12-03 14:58:00,107.71162702088164,56.776576108949726,107.71162702088164,2021-11-29 14:58:00,154.75279244934467,125.46285469526175,154.75279244934467,2021-11-02 14:58:00,106.18861735182215,87.39416833420321,106.18861735182215,2021-10-05 14:59:00,88.93869817955397,71.4607171990772,88.93869817955397,2021-07-19 14:59:00,87.3617370537927,81.55928430713544,87.3617370537927,2021-12-07 14:59:00,69.56416271004203,35.91524272413782,2021-12-03 14:58:00,107.71162702088164,56.776576108949726,2021-11-29 14:58:00,154.75279244934467,125.46285469526175,2021-11-02 14:58:00,106.18861735182215,87.39416833420321,2021-10-05 14:59:00,88.93869817955397,71.4607171990772,2021-07-19 14:59:00,87.3617370537927,81.55928430713544,119.64885486922077,102.00530162738815,12/08/2021 14:22,10/28/2021 14:46,7.2666,77.93409711955508,-0.06761305525574901,3.4482758620689653,0.393859894986958,10.559246460400578,02Dec,25Aug
4,BB,2021-12-08 14:29:00,9.335,2020-12-22 14:59:00,9.465,9.105,0.32240730789899125,66.3421669370831,43.06513409961686,0.29742876997915224,24.565656565656557,7.360552041403111,-0.20417732310315426,2021-12-07 14:59:00,51.48338268857914,5.304783634496372,51.48338268857914,2021-12-03 14:59:00,55.6598493622947,29.31867629604728,55.6598493622947,2021-11-29 14:59:00,60.781421899946366,60.79264235261096,60.781421899946366,2021-11-02 14:59:00,54.763955441285184,50.5738979066659,54.763955441285184,2021-10-05 14:59:00,54.54504823897669,55.965791774536974,54.54504823897669,2021-07-19 14:59:00,53.3514231007348,55.753586611188524,53.3514231007348,2021-12-07 14:59:00,51.48338268857914,5.304783634496372,2021-12-03 14:59:00,55.6598493622947,29.31867629604728,2021-11-29 14:59:00,60.781421899946366,60.79264235261096,2021-11-02 14:59:00,54.763955441285184,50.5738979066659,2021-10-05 14:59:00,54.54504823897669,55.965791774536974,2021-07-19 14:59:00,53.3514231007348,55.753586611188524,54.68038639293844,49.34733444677379,12/08/2021 14:22,10/28/2021 14:46,7.2666,58.404734482670115,-0.020471235988314684,3.4482758620689653,0.7379081445781324,7.913224232401178,21Dec,22Sep
5,SPY,2021-12-08 14:29:00,469.43,2020-09-15 14:59:00,469.495,466.93,0.2541431744404574,0.8501335924216615,46.728971962616825,0.3800676172276938,0.8501335924216615,4.5594262295081895,0.010102531550238292,2021-12-07 14:59:00,9.216735293286915,4.181588070618647,9.216735293286915,2021-12-03 14:59:00,15.972235295614098,21.594970305364217,15.972235295614098,2021-11-29 14:59:00,20.4031363312524,22.064791634900946,20.4031363312524,2021-11-02 14:59:00,15.296685793206096,16.023229990017914,15.296685793206096,2021-10-05 14:59:00,13.62605556244624,13.565959438413689,13.62605556244624,2021-07-19 14:59:00,12.235607928389074,12.407467826240026,12.235607928389074,2021-12-07 14:59:00,9.216735293286915,4.181588070618647,2021-12-03 14:59:00,15.972235295614098,21.594970305364217,2021-11-29 14:59:00,20.4031363312524,22.064791634900946,2021-11-02 14:59:00,15.296685793206096,16.023229990017914,2021-10-05 14:59:00,13.62605556244624,13.565959438413689,2021-07-19 14:59:00,12.235607928389074,12.407467826240026,17.774539551194707,19.10005709167004,12/08/2021 14:22,10/28/2021 14:45,7.2666,14.794814016926509,0.001160020615189522,72.41379310344827,9.408713666574327,2.004540930279375,n/a,n/a
6,QQQ,2021-12-08 14:29:00,399.07,2020-09-15 14:59:00,399.34000000000003,396.28499999999997,0.28270238349520665,2.290506212890988,53.32628950148882,0.4300765082152263,2.290506212890988,5.294125407316526,0.01483845537655595,2021-12-07 14:59:00,13.84039082085778,4.6514918882308045,13.84039082085778,2021-12-03 14:59:00,22.507805241868695,28.33446098161223,22.507805241868695,2021-11-29 14:59:00,25.12855685217389,25.562988825682048,25.12855685217389,2021-11-02 14:59:00,18.645001666081058,19.296877576435293,18.645001666081058,2021-10-05 14:59:00,16.806846692907573,16.548686593952475,16.806846692907573,2021-07-19 14:59:00,15.142479214664325,14.85279529077252,15.142479214664325,2021-12-07 14:59:00,13.84039082085778,4.6514918882308045,2021-12-03 14:59:00,22.507805241868695,28.33446098161223,2021-11-29 14:59:00,25.12855685217389,25.562988825682048,2021-11-02 14:59:00,18.645001666081058,19.296877576435293,2021-10-05 14:59:00,16.806846692907573,16.548686593952475,2021-07-19 14:59:00,15.142479214664325,14.85279529077252,21.167683334620854,22.163354189399197,12/08/2021 14:22,10/28/2021 14:45,7.2666,18.214589493005537,-0.014842932456071767,51.724137931034484,9.847724717986003,2.4678843630743574,n/a,n/a
7,GLD,2021-12-08 14:29:00,166.945,2020-12-16 14:59:00,166.945,166.315,0.07193166491833032,8.845450326244228,6.2126224710522875,-0.04534667619728381,4.408943857539574,1.4801531821773768,0.007148889961389976,2021-12-07 14:59:00,6.7543479066055445,1.183539918333313,6.7543479066055445,2021-12-03 14:59:00,7.127296045763589,3.8851018777589688,7.127296045763589,2021-11-29 14:59:00,12.754142149045954,8.35922487477712,12.754142149045954,2021-11-02 14:59:00,13.279068073379033,12.334709042704137,13.279068073379033,2021-10-05 14:59:00,13.645108752157082,11.697263267795904,13.645108752157082,2021-07-19 14:59:00,13.018613111369303,12.560921423455573,13.018613111369303,2021-12-07 14:59:00,6.7543479066055445,1.183539918333313,2021-12-03 14:59:00,7.127296045763589,3.8851018777589688,2021-11-29 14:59:00,12.754142149045954,8.35922487477712,2021-11-02 14:59:00,13.279068073379033,12.334709042704137,2021-10-05 14:59:00,13.645108752157082,11.697263267795904,2021-07-19 14:59:00,13.018613111369303,12.560921423455573,13.033172936883156,11.272468328926871,12/08/2021 14:22,10/28/2021 14:45,7.2666,15.033180517968592,-0.0024327016030243898,72.41379310344827,3.400091974827987,2.036837071832738,n/a,n/a
8,SLV,2021-12-08 14:29:00,20.795,2020-12-16 14:59:00,20.795,20.645,-0.1440576230492081,25.612591665176165,4.734323847897262,-0.11997460854845537,11.454119650840953,1.9612650159352887,-0.04653828519027971,2021-12-07 14:59:00,15.739524731687926,2.3702766731804514,15.739524731687926,2021-12-03 14:59:00,18.129105590247356,7.587256302167394,18.129105590247356,2021-11-29 14:59:00,20.471001642591904,16.59237858458446,20.471001642591904,2021-11-02 14:59:00,22.898376166398098,18.917625655775176,22.898376166398098,2021-10-05 14:59:00,24.54228525035475,19.215814348229696,24.54228525035475,2021-07-19 14:59:00,23.965648277013393,22.369132020952232,23.965648277013393,2021-12-07 14:59:00,15.739524731687926,2.3702766731804514,2021-12-03 14:59:00,18.129105590247356,7.587256302167394,2021-11-29 14:59:00,20.471001642591904,16.59237858458446,2021-11-02 14:59:00,22.898376166398098,18.917625655775176,2021-10-05 14:59:00,24.54228525035475,19.215814348229696,2021-07-19 14:59:00,23.965648277013393,22.369132020952232,22.473910024815286,18.64272598074353,12/08/2021 14:22,10/28/2021 14:45,7.2666,26.632768924629403,-0.002078450804478993,55.172413793103445,0.7503789900060072,3.6084587028274666,n/a,n/a
9,BITO,2021-12-08 14:29:00,32.165,2021-10-19 14:59:00,32.53,31.1,0.15569048731121643,27.588923908149486,5.945322793148879,-0.23233890214797148,27.588923908149486,5.945322793148879,-0.20324498389893497,2021-12-07 14:59:00,62.198743554139,2.56167998956791,62.198743554139,2021-12-03 14:59:00,105.0664237218115,82.94398816937478,105.0664237218115,2021-11-29 14:59:00,77.73643045842317,67.9255704602375,77.73643045842317,2021-11-02 14:59:00,65.4552202488951,61.06593108298668,65.4552202488951,2021-10-19 14:59:00,62.65436363590812,59.40311191606319,62.65436363590812,2021-10-19 14:59:00,62.65436363590812,59.40311191606319,62.65436363590812,2021-12-07 14:59:00,62.198743554139,2.56167998956791,2021-12-03 14:59:00,105.0664237218115,82.94398816937478,2021-11-29 14:59:00,77.73643045842317,67.9255704602375,2021-11-02 14:59:00,65.4552202488951,61.06593108298668,2021-10-19 14:59:00,62.65436363590812,59.40311191606319,2021-10-19 14:59:00,62.65436363590812,59.40311191606319,70.79209680417654,65.0943118721006,12/08/2021 14:22,10/28/2021 14:45,7.2666,63.89684253921044,0.004878488977371975,6.896551724137931,2.781605627984885,8.65734682699796,n/a,n/a
